MES,PET_M,Ocupados_M,Desocupados_M,PEA_M,Informales_M,TD_%,TGP_%,TO_%,Tasa_Informalidad_%,Año,Ciudad
1,1.529674666667,0.8762172255158417,0.11729056333572833,0.99350778885157,0.50582593774693,11.805701440077138,64.94896009596071,57.28127977859676,57.72837180291028,2023,Barranquilla A.M.
2,1.5315080833336994,0.8766072663082101,0.11908137113151751,0.9956886374397276,0.5058714462956834,11.959699714733956,65.01360641024952,57.238174309864654,57.707877374338565,2023,Barranquilla A.M.
3,1.53334891666686,0.8831478169230983,0.1177054490427825,1.0008532659658809,0.5101729009912708,11.760510061301542,65.27237571873079,57.5960114050789,57.76755501346555,2023,Barranquilla A.M.
4,1.5352028333334857,0.8885561468283633,0.11797743004140665,1.00653357686977,0.5096621059364583,11.721161891916806,65.56355649007098,57.87874589177142,57.358458185862574,2023,Barranquilla A.M.
5,1.5370740833334742,0.8928160637252134,0.12247387028760999,1.0152899340128234,0.513786360412575,12.062945389751407,66.05341570856169,58.0854282435724,57.54672001182829,2023,Barranquilla A.M.
6,1.538967583333476,0.8987933847834958,0.12016824757679168,1.0189616323602875,0.5160161457010991,11.793206315181672,66.21072746400341,58.40235977139084,57.41209875786956,2023,Barranquilla A.M.
7,1.54088666666669,0.90116573700197,0.11632322328786165,1.0174889602898316,0.5159093937788392,11.432381856479996,66.0326928839553,58.483583283344856,57.249113297980536,2023,Barranquilla A.M.
8,1.5428354999997742,0.9045783189885165,0.11466377504584835,1.019242094034365,0.5149818001178592,11.249905760071789,66.06291429219215,58.630898691963516,56.93059288594301,2023,Barranquilla A.M.
9,1.5448170833332056,0.9070322974874215,0.11301261022644166,1.0200449077138634,0.5137964452792692,11.079179884317726,66.03014160828303,58.71454344163162,56.64588203777764,2023,Barranquilla A.M.
10,1.5468302499998734,0.9116587938179718,0.11072621906865165,1.0223850128866234,0.5140231247905476,10.830188008725296,66.09548868640933,58.937222996385444,56.383279388755724,2023,Barranquilla A.M.
11,1.5488775833333983,0.9145485868662749,0.10983560950598249,1.0243841963722573,0.5151058207737942,10.722110893056833,66.1371955663301,59.04589211615034,56.32350518837036,2023,Barranquilla A.M.
12,1.550956999999775,0.9128073218106941,0.1060447454965975,1.0188520673072916,0.51201386619183,10.408257380962235,65.6918320306391,58.854457074620804,56.092217268390385,2023,Barranquilla A.M.
1,1.5530679166666232,0.9108854871926675,0.10386127868144834,1.0147467658741158,0.5079580011287367,10.235191889671205,65.33820929429052,58.6507181957449,55.76529742440557,2024,Barranquilla A.M.
2,1.555207416666564,0.9118638556859758,0.10297422936936583,1.0148380850553416,0.506228631879215,10.146862921857174,65.25419530409316,58.63294155582588,55.51581288397377,2024,Barranquilla A.M.
3,1.5573758333332723,0.9096247310821525,0.10330567543899416,1.0129304065211466,0.5008777853349908,10.198694280862965,65.040845301494,58.407528331505596,55.064222444690124,2024,Barranquilla A.M.
4,1.5595650833330457,0.9061094690912476,0.10158228927060751,1.0076917583618548,0.5009907727718208,10.080690690151508,64.6136393492635,58.10013822281424,55.29031423479912,2024,Barranquilla A.M.
5,1.5617681666665975,0.9087451997041233,0.09651374407455582,1.005258943778679,0.5025088226637208,9.600883898806137,64.36672005706717,58.186945994918595,55.296998853730585,2024,Barranquilla A.M.
6,1.5639790833332274,0.90179645416511,0.09943056147781999,1.00122701564293,0.5008896928346233,9.930870813945372,64.01792877619992,57.66039097167195,55.54354206219969,2024,Barranquilla A.M.
7,1.566190333333301,0.9041534740446457,0.10060629711088083,1.0047597711555267,0.5046464340368941,10.012970264044139,64.15310768884078,57.729476092496924,55.81424487365023,2024,Barranquilla A.M.
8,1.5683944166667274,0.9025337865790143,0.10392683909417583,1.00646062567319,0.5051498380684808,10.325971671734541,64.17139814946535,57.54507775519557,55.97018589001669,2024,Barranquilla A.M.
9,1.5705830833331724,0.8998612969845134,0.10764848352286417,1.0075097805073774,0.5014653532663592,10.684609281773213,64.14877322944216,57.29472745082555,55.726960915732036,2024,Barranquilla A.M.
10,1.5727536666664175,0.8996691710158832,0.11019400535158501,1.0098631763674681,0.5033749925140666,10.911775766293285,64.20987582295436,57.20343815333821,55.95112167127707,2024,Barranquilla A.M.
11,1.574899666666309,0.8966427993739324,0.11047818454881418,1.0071209839227466,0.49925195589429744,10.969703373521273,63.948263196638045,56.93332841144818,55.6801388739075,2024,Barranquilla A.M.
