index,RAMA,Hombres,Mujeres,Total,Dist_%,Dist_H_%,Dist_M_%,Total_miles,Hombres_miles,Mujeres_miles,Ciudad,Año
1,Transporte y almacenamiento,3342.80886799625,120.65129536124999,3463.4601633575,20.8,32.8,1.9,3,3,0,Leticia,2025
2,Comercio y reparación de vehículos,1502.3613581236666,1404.47862988425,2906.839988007917,17.5,14.7,21.8,3,2,1,Leticia,2025
3,"Actividades profesionales, científicas, técnicas y de servicios administrativos",522.0686629609166,1109.7676292044166,1631.8362921653334,9.8,5.1,17.2,2,1,1,Leticia,2025
4,Alojamiento y servicios de comida,518.0571987295833,833.6381842996667,1351.69538302925,8.1,5.1,12.9,1,1,1,Leticia,2025
5,Construcción,951.1943826503333,0.0,951.1943826503333,5.7,9.3,0.0,1,1,0,Leticia,2025
6,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",380.9456085719167,339.2701596584167,720.2157682303334,4.3,3.7,5.3,1,0,0,Leticia,2025
7,Industrias manufactureras,277.11931221675,114.74794830616666,391.8672605229167,2.4,2.7,1.8,0,0,0,Leticia,2025
8,"Agricultura, ganadería, caza, silvicultura y pesca",213.03534002158332,166.7991750745,379.83451509608335,2.3,2.1,2.6,0,0,0,Leticia,2025
9,"Suministro de electricidad, gas, agua y gestión de desechos^",93.55292512791667,42.774657708,136.32758283591667,0.8,0.9,0.7,0,0,0,Leticia,2025
10,Actividades financieras y de seguros,39.788129490833335,75.89946941483333,115.68759890566668,0.7,0.4,1.2,0,0,0,Leticia,2025
11,Información y comunicaciones,13.963168778250001,34.71774465791667,48.68091343616667,0.3,0.1,0.5,0,0,0,Leticia,2025
12,Actividades inmobiliarias,11.59051104,0.0,11.59051104,0.1,0.1,0.0,0,0,0,Leticia,2025
0,Comercio y reparación de vehículos,24513.233679569832,19103.32606592525,43616.55974549508,18.0,18.7,17.2,44,25,19,Manizales A.M.,2025
1,Industrias manufactureras,22912.11770232075,13591.62943108325,36503.747133404,15.1,17.5,12.3,37,23,14,Manizales A.M.,2025
2,"Administración pública y defensa, educación y atención de la salud humana",13160.5134441305,22875.9322030535,36036.445647184,14.9,10.0,20.6,36,13,23,Manizales A.M.,2025
3,"Actividades profesionales, científicas, técnicas y de servicios administrativos",12051.597621621167,17565.181211063333,29616.7788326845,12.2,9.2,15.9,30,12,18,Manizales A.M.,2025
4,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",6691.87742366775,13997.825375488834,20689.702799156585,8.6,5.1,12.6,21,7,14,Manizales A.M.,2025
5,Alojamiento y servicios de comida,6870.54467677475,11870.606093678334,18741.150770453085,7.8,5.2,10.7,19,7,12,Manizales A.M.,2025
6,Transporte y almacenamiento,15372.1440373345,1635.7401346836666,17007.884172018166,7.0,11.7,1.5,17,15,2,Manizales A.M.,2025
7,Construcción,14606.609271852416,1462.6276868995,16069.236958751917,6.6,11.2,1.3,16,15,1,Manizales A.M.,2025
8,Información y comunicaciones,4419.3830079075,2182.0675718089165,6601.4505797164165,2.7,3.4,2.0,7,4,2,Manizales A.M.,2025
9,"Suministro de electricidad, gas, agua y gestión de desechos^",3822.4876049473332,1452.32935862175,5274.816963569083,2.2,2.9,1.3,5,4,1,Manizales A.M.,2025
10,Actividades financieras y de seguros,1716.3088099256668,3461.9573025388336,5178.2661124645,2.1,1.3,3.1,5,2,3,Manizales A.M.,2025
11,Actividades inmobiliarias,2355.006413520833,1126.0118263649167,3481.0182398857496,1.4,1.8,1.0,3,2,1,Manizales A.M.,2025
12,"Agricultura, ganadería, caza, silvicultura y pesca",2499.22818359525,459.3113045105,2958.53948810575,1.2,1.9,0.4,3,2,0,Manizales A.M.,2025
0,Comercio y reparación de vehículos,226328.01682314,181922.98506013333,408251.00188327336,18.8,19.3,18.4,408,226,182,Medellín A.M.,2025
1,Industrias manufactureras,206111.09142339585,171381.0576658325,377492.14908922836,17.4,17.5,17.3,377,206,171,Medellín A.M.,2025
2,"Administración pública y defensa, educación y atención de la salud humana",103647.75334256,168455.401839265,272103.155181825,12.6,8.8,17.0,272,104,168,Medellín A.M.,2025
3,"Actividades profesionales, científicas, técnicas y de servicios administrativos",100606.16724674334,127503.911144525,228110.07839126833,10.5,8.6,12.9,228,101,128,Medellín A.M.,2025
4,Transporte y almacenamiento,168125.8858245075,21721.4979965675,189847.38382107503,8.8,14.3,2.2,190,168,22,Medellín A.M.,2025
5,"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",58398.2533541525,124295.6071430475,182693.8604972,8.4,5.0,12.5,183,58,124,Medellín A.M.,2025
6,Alojamiento y servicios de comida,58789.4301953975,99565.02169724833,158354.45189264583,7.3,5.0,10.1,158,59,100,Medellín A.M.,2025
7,Construcción,133281.45812535583,12780.7808879325,146062.23901328832,6.7,11.3,1.3,146,133,13,Medellín A.M.,2025
8,Actividades financieras y de seguros,21172.534310455,35845.96154162583,57018.49585208083,2.6,1.8,3.6,57,21,36,Medellín A.M.,2025
9,Información y comunicaciones,37710.686607195,19156.153627905835,56866.84023510083,2.6,3.2,1.9,57,38,19,Medellín A.M.,2025
10,Actividades inmobiliarias,24475.142644341668,16166.337618259167,40641.48026260083,1.9,2.1,1.6,41,24,16,Medellín A.M.,2025
